ID ACTIVAS,CLIENTES,MARCA,AÑO
13137,MABE SALTILLO,Mercedes,2023
14048,DAIMLER,Mercedes,2024
15424,ACCIONA,Nissan,2024
6169,MAHLE BR 1,International,2019
9867,YFAI TO,International,2021
12637,MABE SALTILLO,Mercedes,2023
11220,MABE SALTILLO,Volkswagen,2022
13222,JOHN DEERE SALTILLO,International,2023
13136,MABE SALTILLO,Mercedes,2023
14152,SAINT-GOBAIN,Volkswagen,2024
15200,YFAI DERRAMADERO,International,2024
16121,MAGNA POWERTRAIN,International,2025
12636,DAIMLER,Mercedes,2023
11218,MABE SALTILLO,Volkswagen,2022
13221,YFAI RAMOS,International,2023
13135,MABE SALTILLO,Mercedes,2023
14107,DAIMLER,Mercedes,2024
15422,BECARIOS DAIMLER,Nissan,2024
15201,YFAI DERRAMADERO,International,2024
12635,WINDSOR MACHINE MEXICO,Mercedes,2023
11203,APTIV CENTEC 1,Volkswagen,2022
12827,MAHLE BR 2,International,2023
13220,MABE SALTILLO,International,2023
14108,DAIMLER,Mercedes,2024
15199,YFAI DERRAMADERO,International,2024
16119,MAGNA POWERTRAIN,International,2025
5701,CVG,International,2018
4710,CVG,International,2017
4488,DISPONIBLE,International,2016
6022,MAGNA CLOUSURES,Volkswagen,2018
11206,TRANFERENCIA,Volkswagen,2022
12826,MAHLE BR 1,International,2023
13219,JOHN DEERE SALTILLO,International,2023
13133,MABE SALTILLO,Mercedes,2023
14104,DAIMLER,Mercedes,2024
15420,TUPY RAMOS,Nissan,2024
11221,MABE SALTILLO,Volkswagen,2022
12825,MAHLE BR 2,International,2023
13218,JOHN DEERE SALTILLO,International,2023
14105,DAIMLER,Mercedes,2024
15517,CVG,Nissan,2024
15094,WINDSOR MACHINE MEXICO,Volkswagen,2024
12632,MABE SALTILLO,Mercedes,2023
11219,MABE SALTILLO,Volkswagen,2022
11984,MAHLE PISTONES,Volkswagen,2023
12807,MAHLE BR 2,International,2023
13217,JOHN DEERE SALTILLO,International,2023
13131,MABE SALTILLO,Mercedes,2023
14100,DAIMLER,Mercedes,2024
15093,MABE SALTILLO,Volkswagen,2024
12631,DISPONIBLE,Mercedes,2023
12806,MAHLE BR 2,International,2023
13216,TRANFERENCIA,International,2023
13130,MABE SALTILLO,Mercedes,2023
14106,DAIMLER,Mercedes,2024
15281,YFAI STA MARIA,International,2025
15460,CVG,Nissan,2024
15092,MABE SALTILLO,Volkswagen,2024
4825,TUPY SALTILLO,International,2017
5790,TUPY SALTILLO,International,2018
7741,VASCOR,Mercedes,2019
12630,APTIV CENTEC 3,Mercedes,2023
11198,APTIV CENTEC 2,Volkswagen,2022
13215,YFAI STA MARIA,International,2023
13129,MABE SALTILLO,Mercedes,2023
15463,CVG,Nissan,2024
15091,APTIV CENTEC 2,Volkswagen,2024
4209,GANFER SALTILLO,International,2016
4464,TUPY RAMOS,International,2016
7616,CAPACITACION,International,2019
5992,DISPONIBLE,Volkswagen,2018
11189,MABE SALTILLO,Volkswagen,2022
12449,CVG,Volkswagen,2023
13214,JOHN DEERE SALTILLO,International,2023
15090,MABE SALTILLO,Volkswagen,2024
5444,YFAI TO,Toyota,2018
6898,DISPONIBLE,International,2019
11199,MABE SALTILLO,Volkswagen,2022
12401,MABE SALTILLO,Volkswagen,2023
13951,MABE SALTILLO,Volkswagen,2024
15089,MABE SALTILLO,Volkswagen,2024
10356,MABE SALTILLO,International,2022
12448,APTIV CENTEC 3,Volkswagen,2023
13950,MABE SALTILLO,Volkswagen,2024
15088,MABE SALTILLO,Volkswagen,2024
11197,APTIV CENTEC 1,Volkswagen,2022
11963,MAHLE PISTONES,Volkswagen,2023
13307,WINDSOR MACHINE MEXICO,Mercedes,2023
13949,YFAI RAMOS,Volkswagen,2024
15087,MABE SALTILLO,Volkswagen,2024
5996,DISPONIBLE,Volkswagen,2018
11191,APTIV CENTEC 2,Volkswagen,2022
12403,MAHLE PISTONES,Volkswagen,2023
13306,YFAI DERRAMADERO,Mercedes,2023
13213,JOHN DEERE SALTILLO,International,2023
13948,YFAI RAMOS,Volkswagen,2024
12997,MABE SALTILLO,International,2023
15718,BECARIOS DAIMLER,Mercedes,2024
15086,DISPONIBLE,Volkswagen,2024
7255,TRANFERENCIA,International,2019
4771,CVG,International,2017
11190,APTIV CENTEC 2,Volkswagen,2022
13305,APTIV CENTEC 2,Mercedes,2023
13212,YFAI STA MARIA,International,2023
12442,YFAI RAMOS,Volkswagen,2023
13947,YFAI RAMOS,Volkswagen,2024
15085,MABE SALTILLO,Volkswagen,2024
11205,MABE SALTILLO,Volkswagen,2022
13304,MABE SALTILLO,Mercedes,2023
13211,WINDSOR MACHINE MEXICO,International,2023
13946,MABE SALTILLO,Volkswagen,2024
11193,APTIV CENTEC 1,Volkswagen,2022
13303,MABE SALTILLO,Mercedes,2023
13209,TRANFERENCIA,International,2023
12443,MABE SALTILLO,Volkswagen,2023
13945,MABE SALTILLO,Volkswagen,2024
5583,ACCIONA,International,2018
7254,MAGNA CLOUSURES,International,2019
7910,CVG,Mercedes,2020
4768,YFAI RAMOS,International,2017
6077,DISPONIBLE,Volkswagen,2019
10346,APTIV CENTEC 1,Volkswagen,2020
13208,TRANFERENCIA,International,2023
12441,MABE SALTILLO,Volkswagen,2023
13907,MABE SALTILLO,Volkswagen,2024
15298,YFAI STA MARIA,Volkswagen,2025
5578,TUPY SALTILLO,International,2018
7909,CVG,Mercedes,2020
13207,TRANFERENCIA,International,2023
12440,APTIV CENTEC 1,Volkswagen,2023
7908,CVG,Mercedes,2020
11207,WINDSOR MACHINE MEXICO,Volkswagen,2022
10347,TUPY RAMOS,Volkswagen,2020
12726,MAHLE BR 1,Mercedes,2023
15757,YFAI STA MARIA,International,2025
7295,LIPU SALTILLO,International,2019
6637,MAGNA CLOUSURES,International,2019
11018,MABE SALTILLO,International,2022
10348,MABE SALTILLO,Volkswagen,2020
13205,WINDSOR MACHINE MEXICO,International,2023
13210,JOHN DEERE SALTILLO,International,2023
12730,MAHLE BR 2,Mercedes,2023
16500,OIEGSA,International,2025
4606,CAPACITACION,International,2017
6636,VASCOR,International,2019
11194,APTIV CENTEC 1,Volkswagen,2022
10341,APTIV CENTEC 1,Volkswagen,2020
12404,MAHLE PISTONES,Volkswagen,2023
12447,MAHLE PISTONES,Volkswagen,2023
12080,MAHLE PISTONES,Volkswagen,2023
13204,JOHN DEERE SALTILLO,International,2023
12729,DAIMLER,Mercedes,2023
16499,MAGNA POWERTRAIN,International,2025
3972,GANFER SALTILLO,Dina,2015
3971,GANFER SALTILLO,Dina,2015
3969,GANFER SALTILLO,Dina,2015
2679,DISPONIBLE,Mercedes,2013
7783,CVG,Mercedes,2020
11204,YFAI RAMOS,Volkswagen,2022
12081,MAHLE PISTONES,Volkswagen,2023
13203,JOHN DEERE SALTILLO,International,2023
12728,MAHLE BR 1,Mercedes,2023
14171,JOHN DEERE SALTILLO,International,2024
15065,MAGNA POWERTRAIN,International,2024
16498,OIEGSA,International,2025
7782,CVG,Mercedes,2020
6634,YFAI RAMOS,International,2019
10307,WINDSOR MACHINE MEXICO,Volkswagen,2020
10357,APTIV CENTEC 3,International,2022
12727,MAHLE BR 1,Mercedes,2023
15013,YFAI DERRAMADERO,International,2024
6341,YFAI RAMOS,International,2019
4004,TRANFERENCIA,Dina,2015
4620,TRANFERENCIA,International,2017
6633,WOOBOTECH,International,2019
10306,YFAI TO,Volkswagen,2020
12725,MAHLE BR 1,Mercedes,2023
14776,SAINT-GOBAIN,Mercedes,2023
3938,GANFER SALTILLO,Dina,2015
2937,GANFER SALTILLO,Dina,2015
7297,SAINT-GOBAIN,International,2019
